date,home_team,score,away_team
14-08-2023,Cadiz,1 - 0,Alaves
21-08-2023,Alaves,4 - 3,Sevilla
28-08-2023,Getafe,1 - 0,Alaves
02-09-2023,Alaves,1 - 0,Valencia
15-09-2023,Vallecano,2 - 0,Alaves
11-08-2023,Almeria,0 - 2,Vallecano
19-08-2023,Almeria,1 - 3,Real Madrid
26-08-2023,Cadiz,1 - 1,Almeria
01-09-2023,Almeria,2 - 3,Celta
17-09-2023,Villarreal,? - ?,Almeria
12-08-2023,Ath Bilbao,0 - 2,Real Madrid
19-08-2023,Osasuna,0 - 2,Ath Bilbao
27-08-2023,Ath Bilbao,4 - 2,Betis
03-09-2023,Mallorca,0 - 0,Ath Bilbao
16-09-2023,Ath Bilbao,? - ?,Cadiz
14-08-2023,Ath Madrid,3 - 1,Granada
20-08-2023,Betis,0 - 0,Ath Madrid
28-08-2023,Vallecano,0 - 7,Ath Madrid
16-09-2023,Valencia,? - ?,Ath Madrid
13-08-2023,Getafe,0 - 0,Barcelona
20-08-2023,Barcelona,2 - 0,Cadiz
27-08-2023,Villarreal,3 - 4,Barcelona
03-09-2023,Osasuna,1 - 2,Barcelona
16-09-2023,Barcelona,? - ?,Betis
13-08-2023,Villarreal,1 - 2,Betis
20-08-2023,Betis,0 - 0,Ath Madrid
27-08-2023,Ath Bilbao,4 - 2,Betis
02-09-2023,Betis,1 - 0,Vallecano
16-09-2023,Barcelona,? - ?,Betis
14-08-2023,Cadiz,1 - 0,Alaves
20-08-2023,Barcelona,2 - 0,Cadiz
26-08-2023,Cadiz,1 - 1,Almeria
01-09-2023,Cadiz,3 - 1,Villarreal
16-09-2023,Ath Bilbao,? - ?,Cadiz
13-08-2023,Celta,0 - 2,Osasuna
19-08-2023,Sociedad,1 - 1,Celta
25-08-2023,Celta,0 - 1,Real Madrid
01-09-2023,Almeria,2 - 3,Celta
16-09-2023,Celta,? - ?,Mallorca
13-08-2023,Getafe,0 - 0,Barcelona
20-08-2023,Girona,3 - 0,Getafe
28-08-2023,Getafe,1 - 0,Alaves
02-09-2023,Real Madrid,2 - 1,Getafe
17-09-2023,Getafe,? - ?,Osasuna
12-08-2023,Sociedad,1 - 1,Girona
20-08-2023,Girona,3 - 0,Getafe
26-08-2023,Sevilla,1 - 2,Girona
03-09-2023,Girona,1 - 0,Las Palmas
18-09-2023,Granada,? - ?,Girona
14-08-2023,Ath Madrid,3 - 1,Granada
21-08-2023,Granada,0 - 2,Vallecano
26-08-2023,Granada,3 - 2,Mallorca
02-09-2023,Sociedad,5 - 3,Granada
18-09-2023,Granada,? - ?,Girona
12-08-2023,Las Palmas,1 - 1,Mallorca
18-08-2023,Valencia,1 - 0,Las Palmas
25-08-2023,Las Palmas,0 - 0,Sociedad
03-09-2023,Girona,1 - 0,Las Palmas
17-09-2023,Sevilla,? - ?,Las Palmas
12-08-2023,Las Palmas,1 - 1,Mallorca
18-08-2023,Mallorca,0 - 1,Villarreal
26-08-2023,Granada,3 - 2,Mallorca
03-09-2023,Mallorca,0 - 0,Ath Bilbao
16-09-2023,Celta,? - ?,Mallorca
13-08-2023,Celta,0 - 2,Osasuna
19-08-2023,Osasuna,0 - 2,Ath Bilbao
27-08-2023,Valencia,1 - 2,Osasuna
03-09-2023,Osasuna,1 - 2,Barcelona
17-09-2023,Getafe,? - ?,Osasuna
12-08-2023,Ath Bilbao,0 - 2,Real Madrid
19-08-2023,Almeria,1 - 3,Real Madrid
25-08-2023,Celta,0 - 1,Real Madrid
02-09-2023,Real Madrid,2 - 1,Getafe
17-09-2023,Real Madrid,? - ?,Sociedad
11-08-2023,Sevilla,1 - 2,Valencia
21-08-2023,Alaves,4 - 3,Sevilla
26-08-2023,Sevilla,1 - 2,Girona
17-09-2023,Sevilla,? - ?,Las Palmas
12-08-2023,Sociedad,1 - 1,Girona
19-08-2023,Sociedad,1 - 1,Celta
25-08-2023,Las Palmas,0 - 0,Sociedad
02-09-2023,Sociedad,5 - 3,Granada
17-09-2023,Real Madrid,? - ?,Sociedad
11-08-2023,Sevilla,1 - 2,Valencia
18-08-2023,Valencia,1 - 0,Las Palmas
27-08-2023,Valencia,1 - 2,Osasuna
02-09-2023,Alaves,1 - 0,Valencia
16-09-2023,Valencia,? - ?,Ath Madrid
11-08-2023,Almeria,0 - 2,Vallecano
21-08-2023,Granada,0 - 2,Vallecano
28-08-2023,Vallecano,0 - 7,Ath Madrid
02-09-2023,Betis,1 - 0,Vallecano
15-09-2023,Vallecano,2 - 0,Alaves
13-08-2023,Villarreal,1 - 2,Betis
18-08-2023,Mallorca,0 - 1,Villarreal
27-08-2023,Villarreal,3 - 4,Barcelona
01-09-2023,Cadiz,3 - 1,Villarreal
17-09-2023,Villarreal,? - ?,Almeria
